1. What was the Reformation?;In the Reformation, the Catholic Christian Church split into the Catholic Church and various Protestant Churches.
2. Who was Martin Luther?;Martin Luther was a German Catholic priest who began the Reformation in 1527, eventually establishing the Lutheran religion.
3. Who are the Protestants?;Protestants are Christians who are not Catholics. They broke from the Catholic Church and “protested” against the Church.
4. What is the Protestant Work Ethic?;The Protestant work ethic is a belief of Protestants that if a person works hard God will shower him with blessings.
5. What is religious freedom and in which American colonies was it practiced?;In Rhode Island, Pennsylvania, and Maryland, colonists could practice any Christian religion they wanted.
6. What was the Enlightenment?;The Enlightenment was a European intellectual movement that emphasized the importance of reason and individualism.
7. What are natural rights?;Some philosophers argue that natural rights are those that God created each person with: the rights to life, liberty, and the right to private property.
8. Who was John Locke?;Locke was an English writer who wrote extensively about natural rights.
9. Who was Adam Smith?;Smith was an English writer who wrote about capitalism. He is called the father of modern capitalism.
10. What is capitalism?;Capitalism is an economic model where individuals have freedom to make financial decisions and the government does not try to control their actions.
11. What was the Renaissance?;The Renaissance was a rebirth of classical Greek and Roman thought and art in Europe. It marks the end of the Medieval Ages.
12. What was the Age of Exploration?;In the 1400s-1700s, Europeans explored and colonized much of the world.
13. Who was Prince Henry the Navigator?;This Portuguese Prince sponsored Europeans to explore and map the world.
14. Who was Bartholomew Diaz?;Diaz was the first to sail around the southern tip of Africa.
15. Who was Vasco de Gama?;Vasco de Gama was the first to sail to India and back to Portugal.
